Company Number,Company Name,Mismatch Type,Severity,Document,Expected,Found,Confidence,Message
01293232,BRITISH INSURANCE BROKERS' ASSOCIATION,name_mismatch,critical,pesZdr2RHCi5j-Aaan2pIX91AqqBCemTj0LpyEWmTAc.pdf,"BRITISH INSURANCE BROKERS ASSOCIATION, BRITISH INSURANCE AND INVESTMENT BROKERS ASSOCIATION, BRITISH INSURANCE BROKERS ASSOCIATIONTHE, BRITISH INSURANCE BROKERS ASSOCIATION LIMITED THE",PRIVATE COMPANY LIMITED,0.611,
01293232,BRITISH INSURANCE BROKERS' ASSOCIATION,names_in_filings_missing_from_overview,high,,,,,Found 1 name(s) in filing history documents that do NOT appear in the overview/searchable name history section.\n\n=== NAMES IN FILING HISTORY (should be in overview) ===\n\n1. TEST COMPANY LIMITED\n   Found in document(s):\n   - test_document.pdf (incorporation)\n\n=== NAMES IN OVERVIEW SECTION ===\n1. BRITISH INSURANCE AND INVESTMENT BROKERS ASSOCIATION\n2. BRITISH INSURANCE BROKERS ASSOCIATION\n3. BRITISH INSURANCE BROKERS ASSOCIATION LIMITED THE\n4. BRITISH INSURANCE BROKERS ASSOCIATIONTHE\n\n⚠️ ISSUE: The names shown above exist in incorporation/name change/re-registration filings but are NOT registered in the searchable name history section.
